feature	s__Bifidobacterium_dentium	s__Bifidobacterium_bifidum	s__Bifidobacterium_breve	s__Bifidobacterium_longum	s__Lactobacillus_fermentum	s__Lactobacillus_salivarius	s__Lactobacillus_rhamnosus	s__Actinomyces_naeslundii	s__Actinomyces_oris	s__Actinomyces_sp_HPA0247	s__Streptococcus_anginosus_group	s__Streptococcus_mutans	s__Streptococcus_vestibularis	s__Escherichia_coli	s__Klebsiella_pneumoniae	s__Klebsiella_quasipneumoniae	s__Blautia_wexlerae	s__Blautia_hansenii	s__Anaerostipes_hadrus	s__Clostridium_sp_CAG_58	s__Eubacterium_eligens	s__Eubacterium_hallii	s__Eubacterium_ramulus	s__Eubacterium_rectale	s__Eubacterium_sp_CAG_38	s__Faecalibacterium_prausnitzii	s__Fusicatenibacter_saccharivorans	s__Roseburia_faecis	s__Roseburia_intestinalis	s__Roseburia_inulinivorans	s__Ruminococcus_bicirculans	s__Ruminococcus_lactaris
DP199	0.0006279	0.0127309	0.0539893	0.012652	0	0	0.0012342	0	0	0	0	0	0	0.0006703	0.1056236	0.0109962	0	0	0	0	0	0	0	0	0	0	9.81e-05	0	0	0	0	0
DP198	0	0	0	0.0031514	0	0	0	3.5e-06	5.81e-05	0	0	0	0	0	0	0	0.0011824	0	0.0017496	0.0108819	0.0001424	0.0089107	0.0005542	0.0886294	0	0.0062347	0.0230684	0.0026323	0	0	0	0.0048508
DP197	0.0005496	0	0	0.0016435	0.043099	0.0198388	0.0005279	0	0.001349	0.0001356	0.0004611	0.0019269	0.0050289	0.0018805	0.0001106	0	0.000495	0	0.0329907	0.0002738	0.0027942	0.0001982	0	0	0	0.0048974	0.0005392	0.0010035	0.0024025	0	0	0
DP195	0.0001324	0	0	0	0.0006795	0	0	2.08e-05	0	0	0	0	0	0.0162575	0.0021047	9.81e-05	0.0011375	0	0.0002603	0	0.0054754	0.0010224	0	0	0	0.0355441	0.0200499	0.0030272	0	0.00053	0	0
DP194	0	0	0.0219354	0	0.0023559	0.0007579	0.0001885	0	0.0003056	0	0.0001934	0.0014604	0.0001375	0.0003895	0	0	0.002124	0.0231994	0	0.000702	0	0	0	0	0	0	0.0009797	0	0.0005992	0	0	0
DP193	0.0843596	0.0962746	0	0.1009195	0.0039128	0	0.0002171	6.69e-05	0.00328	0.0112667	0.0026662	0	0.0074138	0.0062937	0.0005631	0.0001032	0.0015622	4.94e-05	0.0237332	0.0001823	0.0001018	0.0153476	0	0.0060308	0	0.0028046	0.001048	0.0001907	7.96e-05	0.0047609	0.0093432	0
DP192	0.0001463	0	0	0.0002754	0.0022235	0.0095541	2.89e-05	0	0.000167	0	0	0.0096331	0.0024407	0.0001859	0.0754917	0.0087079	0.0018692	0	0.010794	0.0194058	0.0035124	0.0054113	0	0.0144348	0	0.0022549	0	0.0035018	0.0051906	0.0008125	0	0
DP189	0	0	0	0.0163152	0.0014763	0	0.0026113	0	0	0	0	0	0.001995	0.0075092	0	0	0.1020711	9.92e-05	0	0	0	0.0021744	0	0	0	0.0050798	0	0.0002239	0	0	0	0
DP188	0.0004561	0	0.0067962	0.0665695	8.29e-05	0.000917	0	0	3.15e-05	1.22e-05	0.0022991	0.0003405	0.0005213	0.1413131	0	0	0	0	0	0.0039531	0	0	0	0	0	0.0365597	0	0	0	0.0038101	0	0
DP187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025464	0	0.0075587	0.0025488	0.0127661	0.0097256	0.0011172	0.0105389	0.0012051	0.1842434	0.0215211	0.023138	0.0061105	0.0052334	0.0232673	0
DP186	1.56e-05	0	0	0.0014573	0	0	0	0	0.0001982	0.000455	0	0.0001269	0	0	0	0	0.0076807	0	0.0630897	0.0066813	0.0104711	0.0675826	0.0007002	0.0369185	0.002309	0.0828415	0.0168746	0.0019456	0	0	0.0248311	0
